الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Karl Lagerfeld Classic,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_karl_lagerfeld_perfumes_lagerfeld_classic_for_men_eau_de_toilette.jpg,282.0,Karl Lagerfeld,Men,Perfume,Sophisticated,Woody Oriental,100 ml,1978,Eau de Toilette,"Aldehydes, herbal scents, tarragon, sage, bergamot, lemon","Sandalwood, patchouli, iris root, jasmine, cedarwood, tobacco, rose","Amber, tonka, musk, vanilla, oakmoss",,"Aldehydes, herbal scents, tarragon, sage, bergamot, lemon, sandalwood, patchouli, iris, jasmine, cedar, tobacco, rose, amber, tonka, musk, vanilla, oak",Orange,,,
Police Gentleman EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/7/679602241106_-_police_-_gentleman_eau_de_toilette_-_100ml_-_fd.png,196.0,Police,Men,Perfume,Dynamic,Citrus,100 ml,,Eau de Toilette,"Bergamot, Lemon, Grapefruit, Mandarin, Cardamom, Pepper","Geranium, Cinnamon, Saffron, Blond Tobacco, Quince","Patchouli, Vetiver, Cedar, Sandalwood, Oak Moss, Tonka Bean, Musk",,,,,,
Zohoor Heritage Blend Honour EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700426231558-zohoor-zohoor-heritage-edp-blend-honour---100ml.png,199.0,Zohoor,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,,Eau de Parfum,Grapefruit,Rose,"Musk, Sandalwood",,,,,,
Chanel Les Exclusifs de Chanel 1932 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/1/3145891223309-chanel-chanel-1932-les-exclusifs-de-chanel-_w_-edp-200-ml.png,2437.0,Chanel,Women,Perfume,Sensual,Floral,200 ml,2013,Eau de Parfum,"Bergamot, Neroli, Aldehydes","Carnation, Rose, Purple, Ylang-ylang, Jasmine","Incense, Coumarin, Vanilla, Sandalwood, Abobonax, Vetiver, Malu Musk, Musk, Orris Root",,"Alcohol, Parfum (Fragrance), Aqua (Water), Linalool, Limonene, Citronellol, Alpha-isomethyl Ionone, Hydroxycitronellal, Hexyl Cinnamal, Eugenol, Citral, Geraniol, Benzyl Benzoate, Cinnamyl Alcohol, Benzyl Salicylate, Coumarin, Benzyl Alcohol, Farnesol, Il",,,,
Velvet Cologne Velvet Bloom EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/2/1/21gs100570-velvet-cologne-velevet-bloom.png,355.0,Velvet Cologne,Unisex,Perfume,,Fruity,100 ml,,Eau de Parfum,"Bergamot, Strawberry, Cranberry","Jasmine, Violet, Patchouli, Sandalwood","Musk, Vanilla, Amber",,,,,,
Oud and Misk Baby Powder EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/8/287016381130_-_oud_and_misk_-_-_80_ml_-_fd.png,99.0,Oud and Misk,Unisex,Perfume,Sensual,Floral,80 ml,,Eau de Parfum,,,,,,,,,
Philly & Phill Date Me In Downtown,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/4/742832495240_philly_phill_date_me_in_downtown_edp_100ml_1.jpg,1052.0,Philly & Phill,Unisex,Perfume,Extravagant,Fruity,100 ml,2010,Eau de Parfum,"Apple, Saffron, Peach","Plum, Orange Blossom, Jasmine","Agarwood (Oud), Sandalwood, Vanilla",,"Apple, Saffron, Peach, Plum, Orange Blossom, Jasmine, Agarwood (Oud), Sandalwood, Vanilla.",Black,,,
Lavishlyi Perfume Z84 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/7/87757574_-_lavishlyi_perfume_-_z84_-_100_ml.png,78.0,Lavishlyi Perfume,Men,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,,,,,"Amalfi Lemon, Orange, Virginia Cedar, Bergamot, Oud.",,,,
Mancera Aqua Wood EDP - 120 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/m/a/maw01ab-mancera-mancera-aqua-wood-edp-120ml.png,497.0,Mancera,Men,Perfume,Sophisticated,Soft Oriental,120 ml,2020,Eau de Parfum,"Citrus, Pear","Patchouli Leaves, Turkish Rose, Indian ginger","White musk, Incense, Amber, Benzoin",,,,,,
Amouroud Santal Des Indes,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_amouroud_perfumes_santal_des_indes_for_unisex_eau_de_perfum.jpg,797.0,Amouroud,Unisex,Perfume,Natural,Woody,100 ml,2016,Eau de Parfum,"Absinthe, Fresh Incense Accord","Curry Leaf, Chinese Cedarwood, Narcissus, Turkish Rose","Mysore Sandalwood, Moroccan Leather, Musk, Vetiver",,"Incense, Curry Tree, Narcissus, Turkish Rose, Chinese Cedar, Sandalwood, Leather, Musk, Vetiver.","Black,Gold",,,
Moudon Lumia Extrait De Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/0/3071110520235-moudon-moudon-lumia-unisex-extrait-de-parfum-100ml.png,399.0,Moudon,Unisex,Perfume,Natural,Woody,100 ml,2022,Extrait de Parfum,"Bergamot, Raspberry, Ylang-ylang","Jasmine, Ylang-ylang, Orange Blossom","Musk, Amber, Silk, Sap Leaves, Patchouli",,,,,,
Almaha Perfume Sabon EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/625755264_-_almaha_perfume_-_sabon_-_100_ml.png,270.0,Almaha Perfume,Unisex,Perfume,Sensual,Floral,50 ml,,Eau de Parfum,,,,,,,,,
Marina De Bourbon Cristal Royal,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">23 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_marina_de_bourbon_perfumes_cristal_royal_fw_for_women_eau_de_perfum_3494800015031_1st.jpg,473.0,Marina De Bourbon,Women,Perfume,Romantic,Floral,100 ml,2016,Eau de Parfum,"Black currant, pear, bergamot","Jasmine, violet, lily of the valley",Wood notes are musk and sandalwood.,,"Black Currant, Pear, Bergamot, Jasmine, Violet, Lily-of-the-Valley, Woodsy Notes, Musk, Sandalwood.",Gold,,,
Montale Mango Manga,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3760260452670-montale-montale-mango-manga-unisex-edp-100-ml.jpg,383.0,Montale,Unisex,Perfume,Extravagant,Fruity,100 ml,2010,Eau de Parfum,"Mango, Sweet Orange","asmine Sambac, Ylang-Ylang, Neroli","Moroccan Oud, Vetiver, Cedar, Oak Moss",,"Mango, Sweet Orange, Jasmine Sambac, Ylang-Ylang, Neroli, Moroccan Oud, Vetiver, Cedar, Oak Moss",,,,
Rama Rose Meem Leather Parfum,"<h4 data-v-de649438="""">3.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/1/711645628_-_rama_rose_-_meem_leather_-_100_ml_-_fd.png,99.0,Rama Rose,Unisex,Perfume,Classical,Leather,100 ml,,Parfum,Pink Pepper,Iris,"Leather, Amber",,,,,,
Lalique Lalique,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/4/3454960014688-lalique-lalique-by-lalique-woman-edt-50-ml.jpg,186.0,Lalique,Women,Perfume,Romantic,Floral,50 ml,,Eau de Toilette,"Iris, Rose, Jasmine, Cloves","Cassis, Pear, Blackberry","Musk, Sandalwood, Vanilla",,"Iris, Rose, Jasmine, Cloves, Cassis, Pear, Blackberry, Musk, Sandalwood, Vanilla",,,,
Favor Wowinsite EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6285006054538_-_favor_-_wowinsite_-_75_ml_-_fd_1__1.png,150.0,Favor,Unisex,Perfume,Charismatic,Floral Oriental,75 ml,,Eau de Parfum,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Wood, Juniper","Vanilla, Peru Balsam, Cashmere Woods",,,,,,
Bvlgari Allegra Magnifying Bergamot EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/7/8/783320412776-bvlgari-bvlgari-allegra-magnifying-bergamot-essence-_w_-edp-40-ml_1.png,817.0,Bvlgari,Women,Perfume,Dynamic,Citrus,40 ml,2021,Eau de Parfum,,,,,"Alcohol Denat. (Sd Alcohol 39-c), Aqua (Water), Parfum (Fragrance), Limonene, Linalool, Ethylhexyl Methoxycinnamate, Citral, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Citronellol, Geraniol, Farnesol, Bht",,,,
Alone Solo EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/2/3254878142042-pierra-katra-solo-by-pierra-katra-for-men---eau-de-parfum_-100ml.png,88.0,Alone,Men,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,,,,,"Lavender, Bergamot, Pineapple Leaves, Geranium, Apple, Rose, Tonka Bean, Sandalwood",,,,
The Oud Absolute EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285592001565_-_the_oud_-___absolute_-_100_ml-fd.png,275.0,The Oud,Unisex,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,,,,,"Jasmine, Agarwood, Amber, Patchouli",,,,
Alabaq Alfakher Ghed EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/1/1/11050_-_alabaq_alfakher_-_ghed_-_50_ml_-_fd.png,199.0,Alabaq Alfakher,Women,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,,,,,"Cardamom, Coffee, Jasmine, Fir Balsam, Vanilla, Laotian Oud Oil.",,,,
Giorgio Armani Si Passione Intense,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">43 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_giorgio_armani_perfumes_s_passione_intense_eau_de_parfum_for_women.jpg,587.0,Giorgio Armani,Women,Perfume,Extravagant,Fruity,50 ml,2020,Eau de Parfum,black currant,jasmine,"musk, patchouli, vanilla, cedarwood",,black currant,,,,
Moncler Ladies Pour Femme EDP,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460126274-moncler-moncler-pour-femme-_w_-edp-100-ml.png,365.0,Moncler,Women,Perfume,Sensual,Floral,60 ml,2021,Eau de Parfum,"Powdery Notes, Snow and Bergamot","Jasmine Sembak, Heliotrope","Amber, Cedar, Sandalwood, Vanilla",,,,,,
Marc Jacobs Decadence,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">40 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfum_marc_jacobs_perfumes_decabence_for_women_eau_de_parfum2.jpg,293.0,Marc Jacobs,Women,Perfume,Romantic,Woody,30 ml,2015,Eau de Parfum,"Italian plum, Saffron","Amber, Vetiver, Papyrus","papyrus wood, sweet vetiver, amber.",,"Italian plum, Saffron, Bulgarian rose, Jasmine sambac, Iris, Amber, Vetiver, Papyrus",,,,
Montale Sliver Aoud,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760260450645-montale-montale-sliver-aoud-men-edp-100-ml.jpg,391.0,Montale,Men,Perfume,Extravagant,Aromatic,100 ml,2008,Eau de Parfum,,,,,"Rosemary, Lavender, Geranium, Cedar, Tonka Bean, Lily-of-the-Valley, Vetiver, Agarwood, Amalfi Lemon",,,,
Dolce & Gabbana The One for Men EDP,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">500 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_dolce_gabbana_perfumes_the_one_for_men_eau_de_parfum_100ml.jpg,493.0,Dolce&Gabbana,Men,Perfume,Natural,Woody,100 ml,2015,Eau de Parfum,"Grapefruit, Coriander, Basil","Cardamon, Ginger, Orange Blossom","Cedar Wood, Ambergris, Tobacco",Perfume,"Coriander, basil, grapefruit, ginger, neroli, cardamom, tobacco, sensual amber, cedar.",,,,
Lavimakeen Loud Of Night EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/z/1/z155343171917_-_lavimakeen_-_loud_of_night_-_100_ml_-_fd.png,184.0,Lavimakeen,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,,Eau de Parfum,,,,,"Bergamot, Rose, Tonka Bean, Vanilla, Patchouli, Woods.",,,,
Glorious Room Cloud 7 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285945000184_-_glorious_room_-_7_cloud_7_-_50_ml_-_fd.png,159.0,Glorious Room,Unisex,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,,,,,"Pineapple, Black Currant, Birch Wood, Amber, Vanilla, Water, Alcohol.",,,,
David Beckham Respect,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3614223627042-david-beckham-dvb-rspct-rg-edt-ns-90ml--17-iv-1.jpg,106.0,David Beckham,Men,Perfume,Natural,Woody,90 ml,2017,Eau de Toilette,"Watermelon, Pink Pepper, Grapefruit","Cardamom, basil, lavender","Vetiver, Oak Moss, Patchouli",,"Watermelon, Pink Pepper, Grapefruit, Cardamom, basil, lavender, Vetiver, Oak Moss, Patchouli""",,,,
Narciso Rodriguez Fleur Musc,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">293 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_narciso_rodriguez_perfumes_fleur_musc_for_women_eau_de_parfum.jpg,326.0,Narciso Rodriguez,Women,Perfume,Feminine,Floral,30 ml,2017,Eau de Parfum,"Pink Flowers, Pink Pepper",Musk,"Patchouli, Amber",,"Pink Flowers, Pink Pepper, Musk, Patchouli, Amber",,,,
Ex Nihilo Citizen X EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760264090861_-_ex_nihilo_-_ex_nihilo_citizen_x_unisex_eau_de_parfum_100ml_-_100_ml_-_fd.png,1495.0,Ex Nihilo,Unisex,Perfume,Charismatic,Oriental,100 ml,2017,Eau de Parfum,"White Pepper, Mastic",Iris,"Amber Wood, Frankincense, Musk",,,,,,
The Oud In Love EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287012113834_-_the_oud_-_in_love_-_100_ml_-_fd.png,250.0,The Oud,Unisex,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,,,,,"Pineapple, Iris, Jasmine, Pink Pepper, Musk, Patchouli, Amber, Vanilla",,,,
Roze & Oud Morale,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281150540989_roze_oud_morale_1.jpg,128.0,Roze & Oud,Unisex,Perfume,Glamorous,Floral Oriental,50 ml,,Eau de Parfum,,,,,Rosa Damascena - Nutmeg - Bergamot - musk,,,,
Guru Intuition EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3770001222592-guru-guru-intuition-_u_-edp-100-ml_1.png,579.0,Guru,Unisex,Perfume,Dynamic,Citrus,100 ml,2017,Eau de Parfum,"Bergamot, Mandarin Orange, Violet, Ginger, Basil","Grapefruit, Neroli, Tobacco, Black Pepper","Amber, Cedar, Patchouli, Oakmoss, Leather.",,,,,,
Boulevard Paris Parise Je T'aime EDP,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">5 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3770006449048-boulevard-paris-paris-je-talme.png,87.0,Boulevard Paris,Women,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,"Raspberry, pear, bergamot","Jasmine, Peony, Datura","Patchouli, White Musk, Ambroxan",,,,,,
Thameen Fragrance Green Pearl,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">13 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/5/0/5060905832507-thameen-fragrance-thameen-fragrance-green-pearl-extrait-de-parfum-100ml.png,705.0,Thameen Fragrance,Unisex,Perfume,Dynamic,Citrus,50 ml,2016,Extrait de Parfum,"Bergamot, Tangerine, Orange Blossom, Apple","Tea, Pepper","Oakmoss, Musk, Tonka",,"Bergamot, Tangerine, Orange Blossom, Apple, Artemisia, Tea, Pepper, Oakmoss, Musk, Tonka",,,,
Arabian Oud Different EDP,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281101829682-arabian-oud-kashmir-musk-200-ml.png,195.0,Arabian Oud,Men,Perfume,Charismatic,Oriental,90 ml,,Eau de Parfum,Lemon,"French Lavender, Cardamom",Patchouli,,,,,,
Jaguar Classic Electric Sky EDT,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/6/7640171193366-jaguar-jaguar-classic-electric-sky-_m_-edt-100-ml.png,109.0,Jaguar,Men,Perfume,Extravagant,Aromatic,100 ml,2020,Eau de Toilette,"Grapefruit, Violet Leaf, Sichuan Pepper","Clary Sage, Geranium, Lavender","Amber, Oak Moss, Tonka Bean.",,,,,,
Guerlain Shalimar,"<h4 data-v-de649438="""">4.3</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_guerlain_perfumes_shalimar_for_women_eau_de_pasfum.jpg,759.0,Guerlain,Women,Perfume,Romantic,Aromatic,90 ml,2011,Eau de Parfum,"Bergamot, Lemon, Mandarin, Rosemary","Iris, Jasmine, Rose, Patchouli, Vetiver","Vanilla, Opoponax, Tonka Bean, Frankincense, Sandalwood, Musk, Civet, Ambergris, Leather, Coumarin, Peru Balsam",Perfume,"Bergamot, Lemon, Mandarin, Rosemary,Iris, Jasmine, Rose, Patchouli, Vetiver,Vanilla, Opoponax, Tonka Bean, Frankincense, Sandalwood, Musk, Civet, Ambergris, Leather, Coumarin, Peru Balsam",,,,
Adrienne Vittadini AV,"<h4 data-v-de649438="""">4.4</h4>","<span data-v-de649438="""">9 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_adrienne_vittadini_perfumes_av_for_women_eau_de_perfum_899219002376.jpg,140.0,Adrienne Vittadini,Women,Perfume,Feminine,Floral,90 ml,,Eau de Parfum,"Cyclamen, Bergamot, Lily-of-the-Valley","Yellow Freesia, May Rose, Jasmine, Ylang-Ylang","Orris, Sandalwood, Moss, Musk, Tonka Bean",,"Bergamot , Cyclamen , Lily-of-the-vally , yellow freesia, may rose, jasmine, ylang-ylang, Orris , Sandalwood , Moss , Musk , Tonka bean .","Yellow,Silver",,,
Paris Collection CP1182 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/g/s/gs1182_-_paris_collection_-_cp1182_-_100_ml.png,100.0,Paris Collection,Women,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
Mercedes Benz Mercedes Benz Intense,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">24 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_mercedes-benz_perfumes_mercedes-benz_intense_for_men_eau_de_toilette.jpg,257.0,Mercedes-Benz,Men,Perfume,Natural,Woody,120 ml,2013,Eau de Toilette,"calabria bergamot, Italian mandarin, lemon essence, absolute violet leaves","bourbon pepper, cascalone particles, galbanum, nutmeg, absolute violet","ambrox, American cedar wood, bourbon vetiver, lembanol, Indonesian patchouli, citalox.",,"Calabrian bergamot, Italian mandarin, Lemon, Violet leaf, Bourbon pepper, Cascalone, Galbanum, Nutmeg, Violet, Ambrox, American cedar, Bourbon vetiver, Limbanol, Indonesian patchouli, Cetalox",Black,,,
Al Majed For Oud Noir Parfum,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">99 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285091002063-almajed-for-oud-noir---150ml-.png,149.0,Al Majed For Oud,Unisex,Perfume,Charismatic,Leather,150 ml,,Parfum,Berries,Orris Roots,"Tobacco, Oud, Leather",,,,,,
Emoji Warmth EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/8/285690009203_-_emoji_-_sky_-_100_ml_-_fd.png,179.0,Emoji,Unisex,Perfume,Sensual,Floral,50 ml,,Eau de Parfum,Honey,"Roses, Jasmine",Sandalwood,,,,,,
Deem Perfumes Green Tea,"<h4 data-v-de649438="""">4.3</h4>","<span data-v-de649438="""">6 Ratings</span>",//assets.goldenscent.com/catalog/product/0/8/088582_deem_perfumes_deem_perfume_green_tea.jpg,95.0,Deem Perfumes,Unisex,Perfume,Extravagant,Aromatic,60 ml,,Eau de Parfum,,,,,Green Tea,,,,
Sawalef Black Rose EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6295124036491-sawalef-black-rose-1044-80ml-edp-sw-1.png,525.0,Sawalef,Unisex,Perfume,Natural,Woody,80 ml,,Eau de Parfum,"Saffron, juniper berries, grapefruit",black rose,"leather, violets, cashmeran, berries",,"Saffron, juniper berries, grapefruit, black rose, leather, violets, cashmeran, berries",,,,
