الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
هيرمس تيري دي هيرمس,398,هيرمس,رجالي,عطور,جذابة,أروماتيك,50 مل,الجريب فروت، البرتقال، الفلفل، الفلفل الوردي، أوراق الغرنوقي، باتشولي، خشب الأرز الأطلسي، الفيتيفر (نجيل الهند)، الرَاتينَج الصَمغِي,أو دو تواليت,الجريب فروت، البرتقال,الفلفل، الفلفل الوردي، أوراق الغرنوقي، باتشولي، ورد التوت,أرز أطلسي، الفيتيفر (نجيل الهند)، الرَاتينَج الصَمغِي,,2006,عطور,,
بارفيوم دو مارلي ديلينا إكسكلوسف رويال,1524,بارفيوم دو مارلي,نسائي,عطور,رومانسية,زهرية,75 مل,البرغموت، الكمثرى، الليتشي، الورد التركي، البخور، العود، الأخشاب، العنبر، الفانيليا.,أو دو برفيوم,البرغموت، الكمثرى، الليتشي,الورد التركي، البخور، العود,الأخشاب، العنبر، الفانيليا.,وردي,2018,,,
جيفنشي لا انترديت انتنس,563,جفنشي,نسائي,عطور,عصرية,زهرية شرقية,80 مل,الفلفل الأسود، السمسم، زهور البرتقال، مسك الروم، الفانيليا، الباتشولي، نجيل الهند,أو دو برفيوم,الفلفل الأسود,السمسم، زهور البرتقال، مسك الروم,الفانيليا، الباتشولي، نجيل الهند,,2020,,,
هو أمآي جست واو أو دو برفيوم - 100 مل,169,هو أمآي,رجالي/نسائي,عطور,أنثوية,زهرية شرقية,100 مل,الكحول، عطر، ماء، ألفا-أيزو ميثيل أيونون، ساليسيلات البنزيل، هيدروكسي سيترونيلال، ليمونين، غيرانيول، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، كومارين، سيترونيلول، إيزوجينول، بنزوات البنزيل، كحول بنزيلي.,أو دو برفيوم,الهيل,الفاوانيا,خشب الصندل,,2019,,,
إليزابيث أردن فيفث أفينيو,206,إليزابيث أردن,نسائي,عطور,محبة للطبيعة,,125 مل,"تفاح، فاكهة النجمة، بطيخ، إجاص,ورد بلغاري، بنفسج، زهرة يلانغ يلانغ، ياسمين، مسك الروم الهندي، خوخ، قرنفل، جوزة الطيب,عنبر، سوسن، مسك التبت، خشب الصندل، فانيليا",أو دو برفيوم,برغموت، ليلاك، زهر الزيزفون، ماغنوليا، زنبق الوادي، يوسفي,ورد بلغاري، بنفسج، زهرة يلانغ يلانغ، ياسمين، مسك الروم الهندي، خوخ، قرنفل، جوزة الطيب,عنبر، سوسن، مسك التبت، خشب الصندل، فانيليا,ذهبي,,عطور,,
دولتشي آند غابانا ذا أونلي ون,301,دولتشي آند غابانا,نسائي,عطور,جذابة,شرقية,50 مل,البرغموت، البنفسج، البرتقال، زهرة السوسن، القهوة، الكمثرى، الورد، زهر البرتقال، الباتشولي، الفانيلا، الكاراميل.,أو دو برفيوم,البرغموت، البنفسج، البرتقال,زهرة السوسن، القهوة، الكمثرى، الورد، زهر البرتقال,الباتشولي، الفانيلا، الكاراميل.,وردي,2018,,,
المجموعة الملكية - قطعتان,446,مجموعات حصرية,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
دكتور فرانجيس فيرنزيه روزا توباكو فواحة - 250 مل,280,دكتور فرانجيس فيرنزيه,,موزع للرائحة,,زهرية شرقية,250 مل,الورد، البنفسج، التبغ، العنبر، الفانيليا، المسك,,,,,,,,,
كارتير باشا برفيوم,453,كارتير,رجالي,عطور,جذابة,شرقية,100 مل,الباتشولي، خشب الصندل، التنوب البلسمي، اللبان، الجاوي، جزيء الأمبروسينيد، حبوب التونكا.,برفيوم مركز,,,,,2020,,,
كاندي أديكت مجموعة انتعاش الصيف - قطعتان,119,كاندي أديكت,رجالي/نسائي,مجموعات,,,,,أو دو برفيوم,,,,,,,,
شانيل كوكو مودموزيل انتنس,605,شانيل,نسائي,عطور,حيوية,فاكهية,50 مل,برتقال سيسيلي، برغموت كالابريا، ليمون، ورد، ياسمين، رائحة الفواكه، باتشولي، التونكا، فانيليا مدغشقر، عدان، مسك أبيض.,أو دو برفيوم,برتقال سيسيلي، برغموت كالابريا، ليمون,ورد، ياسمين، رائحة الفواكه,باتشولي، التونكا، فانيليا مدغشقر، عدان، مسك أبيض.,بني,2018,,,
بربري مستر بربري,436,بربري,رجالي,عطور,جذابة,أروماتيك,150 مل,نجيل الهند، أوراق الباتشولي، الجلد، العود، الحمضيات، القرفة، الورد، الخشب، الخزامى، المسك الأبيض، نفحات بحرية,أو دو برفيوم,القرفة ، الطرخون ، الهيل ، الجريب فروت,خزامى، خشب الأرز، جوزة الطيب، ورق البتولا,نجيل الهند,أسود,2016,,,
فان كليف اند اربيلس مجموعة إكسترا أوردينير (كاليفورنيا ريفري أو دو برفيوم+ سانتال بلانك أو دو برفيوم+ مون لايت باتشولي أو دو برفيوم) مجموعة عطرية - 45X3 مل,899,فان كليف اند اربيلس,رجالي/نسائي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
جفنشي هوت كوتور أو دو برفيوم,593,جفنشي,نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,الماندرين البرتقالي، البرجموت، توت العليق,الماجنوليا، نجيل الهند، الفلفل,المسك، العنبر، أخشاب الصندل,,2000,,,
مجموعة غابرييل - 5 قطع,791,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
كاندي أديكت روزي روز لوف بوكس - أو دو برفيوم 50 مل + عطر للشعر 50 مل + زيت عطري 10 مل + معطر للجسم 100 مل,249,كاندي أديكت,نسائي,مجموعة هدايا,جذابة,زهرية شرقية,,الورد، إبرة الراعي، المسك,,الورد,إبرة الراعي,المسك,,2024,,,
نارسيسو رودريغز أول أوف مي أو دو برفيوم,734,نارسيسو رودريغز,نسائي,عطور,حسية,زهرية,90مل,,أو دو برفيوم,الماجنوليا,الورد، إبرة الراعي,المسك، أخشاب الصندل,,2023,,,
جيفنشي هوت كوتور,547,جفنشي,نسائي,عطور,أنثوية,فاكهية,100 مل,"غريب فروت، هديون، برغموت, ماغنوليا، فلفل أسود، نجيل الهند,عنبر، مسك، خشب الصندل",أو دو برفيوم,برغموت، توت العلّيق، برتقال,ماغنوليا، فلفل أسود، نجيل الهند,عنبر، مسك، خشب الصندل,,2000,عطور,,
توم فورد عود وود أول أوفر بخاخ للجسم,398,توم فورد,رجالي/نسائي,بخاخ للجسم,محبة للطبيعة,خشبية,150 مل,خشب العود، خشب الصندل، الباتشولي، الحبهان، الورد التركي، خشب البخور,,,,,,,,,
شوبارد عنبر ملكي,439,شوبارد,رجالي/نسائي,عطور,رومانسية,شرقية ناعمة,80 مل,العنبر، الباردي، زهور البرتقال، البخور، الفانيليا، اللبادنوم,أو دو برفيوم,,,,,2015,عطور,,
كاندي أديكت مسكي مسك أو دو برفيوم,49,كاندي أديكت,رجالي/نسائي,عطور,جذابة,مسك,30 مل,الكحول، عطر، ماء، هيدروكسي سيترونيلال، سيترونيلول، غيرانيول، كومارين، لينالول، ليمونين، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، ساليسيلات البنزيل، هيكسيل سينامال، ألفا-أيزو ميثيل أيونون، سيترال.,أو دو برفيوم,البرغموت,الورد,المسك,,2022,,,
ديور سوفاج بارفيوم,494,ديور,رجالي,عطور,محبة للطبيعة,خشبية,60 مل,الفلفل الوردي، فلفل سوشان، البرجموت، اليانسون النجمي، الجلود، جوزة الطيب، العنبر، نجيل الهند، اللبادنوم، أمبروكسان، الفانيليا,برفيوم مركز,الفلفل الوردي، فلفل سوشان، البرجموت، اليانسون النجمي,الجلود، جوزة الطيب,العنبر، نجيل الهند، اللبادنوم، أمبروكسان، الفانيليا,,,,,
مجموعة بلو - 3 قطع,527,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
ديور أديكت,680,ديور,نسائي,عطور,أنثوية,شرقية,100 مل,"مشمش، غريب فروت، كشمش أسود,فل، نيرولي تونسي,فانيلا، خشب الصندل",أو دو تواليت,يوسفي صقلي,فل، نيرولي تونسي,فانيلا، خشب الصندل,,2015,عطور,,
لويس فيتون ماجينيشن  أو دو برفيوم,1999,لويس فيتون,رجالي,عطور,ديناميكية,حمضية,100 مل,كحول، عطر، أكوا (ماء)، ليمونين، لينالول، سيترونيلول، بوتيل ميثوكسيديبنزويل ميثان، كومارين، سيترال، جيرانيول، بنتاريثرتييل تترا دي تي بيوتيل هيدروكسي هيدروسينامات، سينامال، فارنيسول، يوجينول 1، سيوجين الأزرق.,أو دو برفيوم,البرتقال الصقيلي، برجموت كالابريا، السيترون,قرفة سيلان، النيرولي التونسي، الزنجبيل النيجري,أخشاب الغاياك، اللبان، أمبروكسان، الشاي الأسود الصيني,,2021,,,
