الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
جاكوار مجموعة كلاسيك - 3 قطع,220,جاكوار,رجالي,مجموعات,,,,,,,,,,,,,
أورتو باريسي تيروني,750,أورتو باريسي,رجالي/نسائي,عطور,حيوية,أروماتيك,50 مل,خشب الكاشمير، حلوى القطن، سيبريول، المسك، الأرز,أو دو برفيوم,خشب الكاشمير، حلوى القطن,سيبريول,المسك، الأرز,,2017,,,
كالفين كلاين سي كيه شير بيوتي,259,كالفن كلاين,نسائي,عطور,أنثوية,زهرية ناعمة,100 مل,البرغموت ، التوت الأحمر ، الخوخ بيليني ، الفاوانيا ، الزنبق ، الياسمين ، خشب الصندل ، المسك ، الفانيليا,أو دو تواليت,البرغموت ، التوت الأحمر ، الخوخ بيليني,الفاوانيا ، الزنبق ، الياسمين، خشب الصندل,المسك ، الفانيليا,,2010,,,
كاندي أديكت مجموعة فيستف رووم - 4 قطع,199,كاندي أديكت,,مجموعات,,,,,,,,,,,,,
قوتشي جيلتي بور فيم,708,قوتشي,نسائي,عطور,أنثوية,زهرية,90مل,اليوسفي، البرغموت، الفلفل الوردي، نوتات وردية ومن زهر البنفسج، زيت المسك، باتشولي، نوتات عنبرية,أو دو برفيوم,اليوسفي، البرغموت، الفلفل الوردي,نوتات وردية ومن زهر البنفسج، زيت المسك,باتشولي، نوتات عنبرية,,2019,,,
جان بول غوتييه لي مال الكسير أو دو برفيوم,630,جان بول غوتييه,رجالي,عطور,حيوية,أروماتيك,125 مل,الكحول دينات، عطر (عطور)، مياه أكوا، لينالول، الكومارين، ليمونين، بيوتيل ميثوكسي ديبينزويل ميثان ألفا، أيزوميثيل أيونوني، سينامال، سيترال، جيرانيول، بنزوات البنزيل، البنزيل الكحول,أو دو برفيوم,اللافندر,حبوب التونكا,البنزوين,,,,,
كريد سيلفر ماونتن ووتر,1505,كريد,رجالي,عطور,متألقة,أروماتيك,100 مل,"ورق البنفسج، تفاح أخضر، ليمون,شاي أخضر، كشمش أسود,جالبنيوم، مسك، خشب الصندل، بتيت جرين",أو دو برفيوم,برغموت، يوسفي,شاي أخضر، كشمش أسود,جالبنيوم، مسك، خشب الصندل، بتيت جرين,,2002,عطور,,
روبرتو كافالي فلورنس,279,روبرتو كافالي,نسائي,عطور,رومانسية,زهرية,50 مل,الكمثرى، الكزبرة، العنبر، الفانيليا,أو دو برفيوم,,,,بنفسجي,2016,,,
مجموعة الربيع - 3 قطع,749,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
ميموريز أوف وينتر مجموعة أو دو برفيوم باي مينيز - 3x30 مل,99,مينيز,نسائي,مجموعة عطور,,,3 * 30 مل,,أو دو برفيوم,,,,,2024,,,
فرانك أوليفر بودرة معطرة,179,فرانك أوليفر,نسائي,بودرة للجسم,محبة للطبيعة,خشبية,,"فراولة كبيرة، توت أسود، مسك,ياسمين، ورد، زهرة يلانغ يلانغ، رقيب الشمس,مسك، خشب الصندل، فانيليا",,غريب فروت، عنبر، كشمش أسود، خوخ,ياسمين، ورد، زهرة يلانغ يلانغ، رقيب الشمس,مسك، خشب الصندل، فانيليا,,2017,,,
جورجيو أرماني سي باسيوني,379,جورجيو ارماني,نسائي,عطور,حيوية,فاكهية,30 مل,فلفل وردي، كمثرى، كشمش أسود، جريب فروت، روز، ياسمين، هيليوتروب، أناناس، خشب الأرز، الفانيليا، العنبر، الباتشولي,أو دو برفيوم,فلفل وردي، كمثرى، كشمش أسود، جريب فروت,روز، ياسمين، هيليوتروب، أناناس,خشب الأرز، الفانيليا، العنبر، الباتشولي,,2013,,,
دكتور فرانجيس فيرنزيه مجموعة موزع الرائحة ديو (آمبرا + عود نوبيل),589,دكتور فرانجيس فيرنزيه,,مجموعات,,,,,,,,,,,,,
أورتو باريسي ميجاماري,767,أورتو باريسي,رجالي/نسائي,عطور,حيوية,أروماتيك,50 مل,نسيم البحر، خيار البحر، العنبر، الأعشاب البحرية,أو دو برفيوم,,,,,2014,,,
جيفنشي لانتيردي روج أو دو برفيوم,619,جفنشي,نسائي,عطور,راقية,زهرية شرقية,80 مل,كحول، عطر (عطر)، أكوا (ماء)، لينالول، ليمونين، بوتيل ميثوكسيديبنزويل ميثان، هيدروكسي سيترونيلال، جيرانيول، سيترونيلول، بنزيل ساليسيلات، كومارين، ألفا إيزوميثيل أيونون، يوجينول، سيترال.,أو دو برفيوم,برتقال الأحمر، الزنجبيل,أوراق البيمنتو، الياسمين، مسك الروم,نجيل الهند، الباتشولي، خشب الصندل,,2021,,,
مجموعة أرض المملكة - قطعتان,249,فيري إمبورتانت نوتس,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
