الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
آتيلير كولون عنبر نير,973,آتيلير كولون,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,2012,أو دو كولون,تاجيتس وبرتقال وبرغموت,قرفة وزهرة الأوركيد وبنزوين,لابدانوم، الباتشولي، حبوب التونكا,,الماندرين الأخضر، البرغموت، التاجيت، الأوركيد نيجريتيلا روبرا ​، القرفة، البنزوين، قيسس لابدانوم، الباتشولي، حبوب التونكا، تاجيتس.,,,,,,,
مونت بلانك مونت بلانك إكستريم ليذر سموكيد إيريس أو دو برفيوم,760,مونت بلانك,رجالي,عطور,كلاسيكية,جلدية,125 مل,2024,أو دو برفيوم,الجلود,جذور السوسن,المسك,,,,,,,,,
درعه لابوتيه جينيال أو دو برفيوم,160,درعه,نسائي,عطور,محبة للطبيعة,خشبية,100 مل,,أو دو برفيوم,البرجموت، الجريب فروت، اللمون، الروائح الخضراء,المريمية، إبرة الراعي، الكسبرة، الهيل,الفانيليا، أخشاب الأرز، أخشاب الصندل، المسك، أخشاب الكشمير,,,,,,,,,
نمبر 4711 ريميكس سي ليمون أو دو كولون,97,نمبر 4711,رجالي,عطور,ديناميكية,حمضية,100 مل,,أو دو كولون,شيسو، اليوزو، الليمون الإيطالي,الورد، البنفسج، زهور البرتقال، نوتات شمسية,الباتشولي، أخشاب العنبر، المسك الأبيض,,,,,,,,,
مونتال دايموند جريدي أو دو برفيوم,684,مونتال,نسائي,عطور,جذابة,زهرية شرقية,100 مل,2017,أو دو برفيوم,الماندرين البرتقالي، الكمثرى,الياسمين، الورد، الفانيليا,الباتشولي، المسك الأبيض,,,,,,,,,
رسائل عود سلفر الجديد برفيوم,299,رسائل عود,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,,برفيوم مركز,,,,,البرجموت، اليوسفي، الشاي الأخضر، الكشمش الأسود، المسك، أخشاب الصندل.,,,,,,,
جوتال باريس أو دو هادريان أو دو برفيوم,600,جوتال باريس,نسائي,عطور,ديناميكية,حمضية,50 مل,1981,أو دو برفيوم,الإيلنغ، الألدهيدات، الماندرين، الجريب فروت، السيترون، السرو، الليمون، الليمون الصقيلي,,,,دينات الكحول.، عطر (عطر)، أكوا (ماء / ماء)، ليمونين، أميل سينامال، كحول بنزيل، بنزيل بنزوات، بنزيل ساليسيلات، سيترال، سيترونيلول، يوجينول، فارنيسول، جيرانيول، هيدروكسيترونيلال، إيزويوجينول، لينالول,,,,,,,
جيمينا بي ايدول بلو وايلد أو دو تواليت - 90 مل,109,جيمينا بي,رجالي,عطور,محبة للطبيعة,خشبية,90مل,,أو دو تواليت,,,,,,,,,,,,
كالفين كلاين سي كيه بي,219,كالفن كلاين,رجالي,عطور,حيوية,أروماتيك,200 مل,1996,أو دو تواليت,الليمون العطري، العَرْعَر، الماندرين، النعناع، الخزامى، المسك الأبيض,توابل خفيفة، ماغنوليا، خوخ، مسك أبيض,خشب الصندل، جاوشير، حبوب تونكا، مسك أبيض,عطور,الخزامى ، المسك ، خشب الصندل ، الأوراق الخضراء ، البرغموت ، النعناع,,,,,,,
الدخيل للعود مسك خاص أو دو برفيوم,92,الدخيل للعود,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,,أو دو برفيوم,الزعفران، الفلفل الوردي، زهرة البنفسج,المسك الأبيض، الورد، الأزهار,الجلد، العود، الأخشاب العطرية، العنبر,,,,,,,,,
