الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
بولغاري أليجرا ماجنيفاينج فانيلا اسينس أو دو برفيوم,817,بولغاري,نسائي,عطور,ديناميكية,زهرية ناعمة,40 مل,2021,أو دو برفيوم,,,,,فانيليا مدغشقر,,,,,,,
هيرميس اون جاردين سور لا لاجوني,520,هيرمس,رجالي/نسائي,عطور,أنثوية,زهرية ناعمة,50 مل,2019,أو دو تواليت,,,,,الماغنوليا، زنبق مادونا، بيتوسبوروم، نسيم البحر، السامفيري، الأوراق الخشبية,,,,,,,
فاز سنداري,426,فاز,رجالي/نسائي,عطور,رومانسية,زهرية,50 مل,,أو دو برفيوم,,,,,الخزامى، البنفسج، العنبر، تيوليب,,,,,,,
بوتيجا فينيتا باركو بالاديانو IV أو دو برفيوم,1050,بوتيجا فينيتا,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,2016,أو دو برفيوم,اليوسفي,زهور البرتقال، الخوخ، زهور رودودندرون بونتيكوم,الفانيليا، الكستناء,,,,,,,,,
فهيرة ليا أو دو برفيوم,300,فهيرة,رجالي/نسائي,عطور,,,50 مل,,أو دو برفيوم,أخشاب العود، نجيل الهند,اللافندر، الزعفران,الجريب فروت، اخشاب الصندل، الجلود,,,,,,,,,
أورموند جاين أوسمانثوس,845,أورموند جاين,رجالي/نسائي,عطور,رومانسية,زهرية,50 مل,2006,أو دو برفيوم,بوميلو ودافانا (أعشاب مصرية حلوة) وبيمنتو,واتر ليلي ، سامباك (ياسمين هندي),خشب الأرز ، اللابدانوم ، المسك ونجيل الهند,,،بوميلو ودافانا (أعشاب مصرية حلوة) وبيمنتو ،واتر ليلي ، سامباك (ياسمين هندي) ،خشب الأرز ، اللابدانوم ، المسك ونجيل الهند,ذهبي,,,,,,
لينك نيش V أو دو برفيوم,498,درعه,رجالي/نسائي,عطور,جذابة,شرقية,150 مل,,أو دو برفيوم,البرجموت، الفلفل الوردي,الكراميل، الورد، زنبق الوادي,الباتشولي، الفانيليا، المسك,,,,,,,,,
برفيومز أر بي بريفيه نمبر 13 أو دو برفيوم,282,برفيومز أر بي,رجالي/نسائي,عطور,محبة للطبيعة,"خشبية,خشبية",100 مل,,أو دو برفيوم,القنب، النوتات الخضراء,الراتنجات، الأخشاب، القهوة، التبغ,البخور، العود,,,,,,,,,
زهور اكسوتيك بوكيه أو دو برفيوم,149,زهور,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,زهور البرتقال,العسل، العنبر الجاف,الفانيليا,,,,,,,,,
هوجو بوس بوس ما في للنساء,317,هيوجو بوس,نسائي,عطور,رومانسية,زهرية,50 مل,2014,أو دو برفيوم,زهر الصبار,باقة من الزهور الوردية مع برعم الورد,خشب الأرز,عطور,زهر الصبار، باقة من الزهور الوردية مع برعم الورد، خشب الأرز,,,,,,,
جيفنشي إيريززتابول جيفنشي,440,جفنشي,نسائي,عطور,أنثوية,زهرية,50 مل,2020,أو دو برفيوم,الكمثرى، أمبريت,الورد، زهور السوسن,أخشاب الأرز، المسك.,,الكمثرى، أمبريت، الورد، زهور السوسن، أخشاب الأرز، المسك.,,,,,,,
اجينت بروفيكتور لاس نوير,313,ايجنت بروفيكتور,نسائي,عطور,رومانسية,زهرية,100 مل,2018,أو دو برفيوم,البرغموت، وردية، وودي، والفلفل الوردي,مسك الروم، جوز الهند، الحلو، الياسمين,الفانيليا والبرالين وفول التونكا والباتشولي,,البرغموت، وردية، وودي، والفلفل الوردي، مسك الروم، جوز الهند، الحلو، الياسمين، الفانيليا والبرالين وفول التونكا والباتشولي,,,,,,,
جو مالون جينجر بير أو دو كولون,398,جو مالون,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,30 مل,2024,أو دو كولون,السترون، الزنجبيل,القرفة، أميريس,المسك الأبيض، نجيل الهند، البلوط,,,,,,,,,
إتيات ليبري دي أورانج جاسمين ات سيجاريت أو دو برفيوم,599,إتيات ليبري دي أورانج,نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2006,أو دو برفيوم,,,,,العنبر، حبوب التونكا، المسك، الكمون، أخشاب الأرز، المشمش، القش، التبغ، الياسمين,,,,,,,
براود براود أو دو برفيوم,94,درعه,رجالي,عطور,محبة للطبيعة,خشبية,100 مل,,أو دو برفيوم,البرجموت، زهور البرتقال، الليمون,الياسمين، الورد، القرفة، اللافندر، إبرة الراعي,المسك، العنبر,,,,,,,,,
شون جون انفورجيفابل ومن,326,شون جون,نسائي,عطور,راقية,شرقية خشبية,125 مل,2007,أو دو برفيوم,النيرولي، الكمثرى، التفاح الأخضر، الجريب فروت، القرفة الصينية، البرتقال المر، البرغموت,الياسمين، الفريزيا، البنفسج، زهور البرتقال، بخور مريم، الورد، زنبق الوادي,الباتشولي، العنبر، حبوب التونكا، خشب الصندل، السوسن، خشب الأرز، نجيل الهند، طحلب البلوط، الفانيليا,,النيرولي، الكمثرى، التفاح الأخضر، الجريب فروت، القرفة الصينية، البرتقال المر، البرغموت، الياسمين، الفريزيا، البنفسج، زهور البرتقال، بخور مريم، الورد، زنبق الوادي، الباتشولي، العنبر، حبوب التونكا، خشب الصندل، السوسن، خشب الأرز، نجيل الهند، طحلب البلوط، الف,,,,,,,
نايتولوجي فيفيد فيلفت أو دو برفيوم,650,نايتولوجي,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,الفواكه النادرة، برتقال الدم الزغلول,العنبر، الياسمين,الطحالب، السكر,,,,,,,,,
جين انطوان سيليبريتي او دي برفيوم,84,جين أنطوان,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,البلسم,الياسمين، الورد، الباتشولي,الدخان، الأاخشاب، الفانيليا,,,,,,,,,
لينك ريليف أو دو برفيوم,114,درعه,رجالي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,التفاح، التوت الأسود,الأناناس، زنبق الوادي,العنبر، الباتشولي,,,,,,,,,
سدر الخليج أوريون أو دو برفيوم - 75 مل,60,سدر الخليج,رجالي/نسائي,عطور,حيوية,فاكهية,75 مل,,أو دو برفيوم,البرتقال، البرجموت، الليمون,الفواكه,العنبر، الفانيليا، المسك الأبيض، سيبريول,,,,,,,,,
جوليا روبنسون ديامانت أو دو برفيوم,61,جوليا روبنسون,رجالي,عطور,محبة للطبيعة,"خشبية,خشبية",100 مل,,أو دو برفيوم,زهر البرتقال الإفريقي، الفلفل الوردي,الأخشاب، البلسم، زنابق الأوركيد,أخشاب الصندل، الباتشولي، التونكا، اللبان، الجاوي,,زهر البرتقال الإفريقي، الفلفل الوردي، الأخشاب، البلسم، زنابق الأوركيد، أخشاب الصندل، الباتشولي، التونكا، اللبان، الجاوي,,,,,,,
زيرجوف بيكوفايا داما أو دو برفيوم - 100 مل,2310,زيرجوف,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,1890,أو دو برفيوم,الليمون، الورد، البرجموت، النيرولي، الألدهيدات,كسبرة، جوزة الطيب، الأرز، البخور، السوسن,الباتشولي، أخشاب الصندل، الفانيليا، المسك,,,,,,,,,
شوبارد ويش بريليانت,196,شوبارد,نسائي,عطور,رومانسية,زهرية,75 مل,1999,أو دو برفيوم,ملاحظات الفواكه، فلفل وردي,نجمة الينسون، أوراق البنفسج,خشب الصندل، المسك، العنبر,,ملاحظات الفواكه، فلفل وردي، نجمة الينسون، أوراق البنفسج، خشب الصندل، المسك، العنبر.,,,,,,,
نيكولاي كاب نيرولي أو دو تواليت,875,نيكولاي,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2018,أو دو تواليت,البرغموت، الماندرين، النعناع، البرتقال، إكليل الجبل، الحبوب الدقيقة,هيديون، الإيلنغ، الياسمين، زهور البرتقال، النيرولي,الفانيليا، المسك، طحلب البلوط,,,,,,,,,
هيسترويز دو بارفيوم روزام,723,هيستوار دو بارفيوم,رجالي/نسائي,عطور,متألقة,زهرية شرقية,60 مل,2011,أو دو برفيوم,الحمضيات، الورد,الزعفران، البخور، ورد طائفي,خشب الصندل، الباتشولي، العنبر، العود,,الحمضيات، الورد، الزعفران، البخور، ورد طائفي، خشب الصندل، الباتشولي، العنبر، العود,,,,,,,
بوهوبوكو وايلد كاروت عود أو دو برفيوم,699,بوهوبوكو,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,2022,أو دو برفيوم,البرجموت، الجزر، القرفة,أخشاب الأرز، الأخشاب الجافة، العود,التبغ، روائح حيوانية، الجلود، العنبر، الأرض,,,,,,,,,
نوتيكا كلاسيك,99,نوتيكا,رجالي,عطور,حيوية,أروماتيك,100 مل,1992,أو دو تواليت,ألدهيدات، ليمون، كزبرة، سرو، قرفة، طرخون، كلاري ساج، زهر البرتقال، برغموت,بخور مريم، ياسمين، كراوية، ورد، إبرة الراعي,خشب الصندل، العنبر، الباتشولي، المسك، البلوط، الأرز,,ألدهيدات، ليمون، كزبرة، سرو، قرفة، طرخون، كلاري ساج، زهر البرتقال، برغموت، بخور مريم، ياسمين، كراوية، ورد، إبرة الراعي، خشب الصندل، العنبر، الباتشولي، المسك، البلوط، الأرز,,,,,,,
